Timestamp,3/5/2024 10:11:29 AM
Interval,0.004
Channel name,"Input 0"
Unit,"V"
0,2.3771971714450046
0.004,2.3898802734620403
0.008,2.4028885832231026
0.012,2.41069356907974
0.016,2.404839829687262
0.02,2.3993112980388105
0.024,2.396709636086598
0.028,2.4002869212708902
0.032,2.4012625445029698
0.036,2.4015877522469964
0.04,2.4071162838954479
0.044,2.4220758401206695
0.048,2.4119944000558462
0.052,2.3970348438306246
0.056,2.3934575586463325
0.06,2.3993112980388105
0.064,2.4002869212708902
0.068,2.3954088051104918
0.072,2.3954088051104918
0.076,2.4084171148715541
0.08,2.4080919071275275
0.084,2.4035389987111557
0.088,2.4074414916394744
0.092,2.4093927381036337
0.096,2.4035389987111557
0.1,2.3983356748067308
0.104,2.4051650374312885
0.108,2.4149212697520852
0.112,2.4214254246326163
0.116,2.4181733471923508
0.12,2.413620438775979
0.124,2.4584991074516438
0.128,2.6266315111133736
0.132,2.9310259595222306
0.136,3.2806242843507789
0.14,3.5778641623910517
0.144,3.5811162398313172
0.148,3.1111910497129429
0.152,2.4373606040899176
0.156,1.9788176850124728
0.16,1.8191406826954335
0.164,1.8705235062516294
0.168,2.0142653291113675
0.172,2.1612592294113711
0.176,2.287439834093675
0.18,2.3726442630286328
0.184,2.4132952310319524
0.188,2.434108526649652
0.192,2.4552470300113782
0.196,2.4815888572775293
0.2,2.4968736212467775
0.204,2.5017517374071758
0.208,2.4984996599669103
0.212,2.4900442586222198
0.216,2.4906946741102729
0.22,2.4939467515505385
0.224,2.5017517374071758
0.228,2.5072802690556273
0.232,2.5007761141750962
0.236,2.4968736212467775
0.24,2.5063046458235476
0.244,2.5241910717450082
0.248,2.5349229272978846
0.252,2.5375245892500971
0.256,2.5381750047381502
0.26,2.5358985505299643
0.264,2.5368741737620439
0.268,2.5313456421135925
0.272,2.5319960576016456
0.276,2.5463051983388141
0.28,2.5651672474923544
0.284,2.5713461946288589
0.288,2.5677689094445668
0.292,2.5596387158439029
0.296,2.5547605996835046
0.3,2.5570370538916904
0.304,2.5664680784684606
0.308,2.5788259727414697
0.312,2.5817528424377088
0.316,2.5739478565810714
0.32,2.5658176629804075
0.324,2.5824032579257619
0.328,2.6165500710485503
0.332,2.6302087962976657
0.336,2.6328104582498781
0.34,2.6334608737379313
0.344,2.6360625356901437
0.348,2.6445179370348342
0.352,2.6539489616116043
0.356,2.6659816481405869
0.36,2.6767135036934633
0.364,2.6796403733897023
0.368,2.6812664121098351
0.372,2.6972015915671363
0.376,2.7193157181609422
0.38,2.7332996511540841
0.384,2.7411046370107215
0.388,2.7476087918912526
0.392,2.7489096228673588
0.396,2.7557389854919165
0.4,2.764194386836607
